SubPlot;idTree;Xfield;Yfield;Family;Genus;Species;CircCorr
4;104119;156,0000000000000;24,50000000000000;Lecythidaceae;Eschweilera;coriacea;65,500000000000
4;104120;158,5000000000000;23,00000000000000;Lecythidaceae;Eschweilera;coriacea;87,000000000000
4;104121;158,5000000000000;17,50000000000000;Chrysobalanaceae;Licania;alba;70,500000000000
4;104123;157,0000000000000;16,50000000000000;Lecythidaceae;Eschweilera;coriacea;54,000000000000
4;104127;157,0000000000000;10,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;38,000000000000
4;104129;157,5000000000000;5,50000000000000;Sapotaceae;Pouteria;eugeniifolia;133,500000000000
4;104130;152,0000000000000;8,00000000000000;Chrysobalanaceae;Parinari;campestris;153,500000000000
4;104131;153,0000000000000;8,50000000000000;Lecythidaceae;Eschweilera;coriacea;67,500000000000
4;104132;152,5000000000000;6,50000000000000;Euphorbiaceae;Sandwithia;guyanensis;40,000000000000
4;104134;156,0000000000000;3,50000000000000;Lecythidaceae;Eschweilera;sagotiana;41,500000000000
4;104135;176,5000000000000;11,50000000000000;Sapotaceae;Pouteria;ambelaniifolia;42,500000000000
4;104139;165,5000000000000;2,00000000000000;Fabaceae;Eperua;falcata;141,500000000000
4;104142;164,0000000000000;5,50000000000000;Chrysobalanaceae;Licania;alba;55,000000000000
4;104144;180,0000000000000;124,00000000000000;Lecythidaceae;Couratari;multiflora;71,000000000000
4;104145;161,0000000000000;12,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;49,000000000000
4;104146;163,5000000000000;14,50000000000000;Malvaceae;Theobroma;guianense;50,000000000000
4;104149;165,5000000000000;26,00000000000000;Lecythidaceae;Eschweilera;coriacea;78,000000000000
4;104150;161,0000000000000;23,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;50,000000000000
4;104151;162,5000000000000;34,00000000000000;Bignoniaceae;Tabebuia;insignis;92,000000000000
4;104152;164,5000000000000;32,50000000000000;Fabaceae;Ormosia;coutinhoi;105,500000000000
4;104153;169,5000000000000;29,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;45,500000000000
4;104154;168,5000000000000;42,00000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;52,000000000000
4;104157;165,5000000000000;42,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;56,000000000000
4;104158;162,5000000000000;40,00000000000000;Myristicaceae;Iryanthera;hostmannii;75,000000000000
4;104159;161,0000000000000;43,00000000000000;Lecythidaceae;Eschweilera;coriacea;90,000000000000
4;104161;164,5000000000000;45,50000000000000;Fabaceae;Swartzia;polyphylla;63,600000000000
4;104165;160,5000000000000;48,00000000000000;Lecythidaceae;Eschweilera;coriacea;60,500000000000
4;104166;161,5000000000000;55,50000000000000;Clusiaceae;Symphonia;sp.1;111,000000000000
4;104167;160,0000000000000;60,50000000000000;Lecythidaceae;Lecythis;persistens subsp. aurantiaca;48,000000000000
4;104171;166,5000000000000;76,50000000000000;Fabaceae;Abarema;jupunba var. jupunba;163,000000000000
4;104172;168,5000000000000;78,00000000000000;Sapotaceae;Pradosia;cochlearia;84,000000000000
4;104178;163,5000000000000;110,50000000000000;Fabaceae;Eperua;falcata;105,500000000000
4;104179;166,5000000000000;110,50000000000000;Fabaceae;Bocoa;prouacensis;92,500000000000
